69,99,57
6,84,46
14,59,91
70,62,42
16,79,50
85,58,92
52,86,93
11,42,15
37,43,21
89,58,26
12,55,14
76,55,37
36,20,70
54,32,6
52,79,31
59,31,80
21,36,26
4,1,32
86,34,34
21,40,8
85,48,77
16,86,72
34,39,37
78,53,52
51,63,31
67,10,53
11,72,78
16,70,75
27,34,67
29,94,85
86,33,44
31,97,13
32,32,75
51,23,10
67,49,4
80,24,45
69,3,32
46,58,47
1,95,15
15,42,12
47,56,85
18,58,39
24,29,74
55,22,22
90,75,39
27,81,31
29,17,12
28,92,56
29,94,47
73,18,19
76,48,100
6,75,47
45,67,97
19,37,29
34,71,72
27,60,85
29,82,4
17,78,72
78,15,68
63,58,67
74,79,64
50,18,88
36,48,48
10,20,73
33,83,65
39,1,97
21,2,12
44,27,77
21,100,50
2,95,21
32,35,55
27,3,67
24,20,32
1,83,63
36,3,85
95,42,34
80,64,61
80,98,79
57,86,93
99,27,66
72,56,43
100,23,99
29,53,70
48,12,52
35,78,85
15,11,73
75,4,19
63,7,2
20,43,44
84,91,39
24,36,2
3,97,94
36,75,86
9,37,40
39,71,70
1,26,8
68,5,51
19,89,53
9,94,95
69,22,38
